Ticker,Company Name,2015,2014,2013,2012,2011,2010,2009,2008
AXP,American Express Co,68454.3,95179.9,96536.7,63515.4,54905.9,51375.2,48299.8,21518
AYE,Allegheny Energy Inc.,,,,,,4120.1,3981.5,5734.7
AZO,AutoZone Inc,22617.1,19748.4,16110.9,12876.8,12790.8,11937.3,7823.8,8014.6
BA,Boeing Co.,96873,92666.6,102565.8,56827.2,54516.2,47873.4,39330.8,30075.3
BAC,Bank of America Corp.,175242,188139.3,166071.7,125133.5,56355.4,134535.9,130273.1,70647.5
BAX,Baxter International Inc.,20868.7,39750.9,37768.3,36410.6,27756.8,29396.7,35265,33011.1
BBBY,Bed Bath & Beyond,8052.5,14137.2,17098,12643.3,13985,12520.1,10116,6602.2
BBT,BB&T Corp.,29497.5,28027.9,26371.1,20369.1,17547.1,18255.3,17499,15357
BBY,Best Buy Co. Inc.,10435.8,13700.2,13828.4,4008.6,8272.8,13512.6,16495.5,11621.5
BC,Brunswick Corp.,,4751.5,4256.4,2607.4,1609.2,1661.5,1121.8,369.4
BCR,"C. R. Bard, Inc",13997,12478.7,10371.8,7985.1,7228.4,7798.1,7471.9,8374.9
BDK,Black & Decker,,,,,,,3996.4,2512.5
BDX,Becton Dickinson,32472.5,26911,21432.5,15313.5,15960.5,19122.9,18684.1,16481
BEAM,Beam Inc.,,,11137,9781.7,7988.8,9231,6499.6,6196.2
BEN,Franklin Resources,22146.8,34463.8,36422.8,26714.3,20744,24832.5,24041.4,14855.5
BF.B,Brown-Forman Corp.,11597.8,18509.7,16116.7,13510.9,11433.4,10107.8,7868.6,7747.3
BHI,Baker Hughes Inc,20125.4,24334.4,24203.9,18014.9,21255.7,24697.4,12629.8,9909.6
BIG,Big Lots Inc.,,2117.5,1858.2,1629.9,2401.9,2250.8,2374.1,1178.3
BIIB,"Biogen Idec, Inc.",68286.3,79622.4,66071.3,34628.5,26644.8,16128.1,14704.7,13719.6
BJS,BJ Services Co.,,,,,,,5434.1,3433.7
BK,BNY Mellon,45051.5,45366.5,39910.2,29901.7,24084.6,37494.2,33783.1,32536.1
BLK,BlackRock,55842.9,59684.6,53396.4,35392.1,31781.8,36437.4,43840.5,17425.5
BLL,Ball Corp,9914.6,9337,7341.8,6700.4,5724.9,5857.7,4860.8,3898.3
BMC,BMC Software,,,,5701.3,5300.5,8353.2,7294.2,4970.3
BMS,Bemis,,4439.6,4173.8,3453.1,3097.8,3516.6,3208.8,2361.1
BMY,Bristol-Myers Squibb,114761.4,98048.8,87644.4,53382.4,59555.6,45121.9,43278.5,46011.8
BNI,Burlington Northern,,,,,,,33603.7,25679.4
BRCM,Broadcom Corp.,32437,25954.7,17226.7,18896.5,16001.2,23460.3,15595.1,8298.6
BRK.B,Berkshire Hathaway,325485.6,350649.9,277110.3,209574.5,179157.5,187814.1,145221.5,142264.5
BRL,Barr Pharmaceuticals Inc.,,,,,,,,
BSC,Bear Stearns Inc.,,,,,,,,
BSX,Boston Scientific,24805.4,17588.7,15894,7768.2,7738,11512.3,13596.8,11622.7
BTU,Peabody Energy,,2103,5275.1,7147.4,8976.1,17289.7,12125.5,6066.2
BUD,Anheuser-Busch Inc.,,,,,,,,
BWA,BorgWarner Inc,9689.8,12442.3,12743.7,8277.3,6916.7,8127.2,3881.4,2515.1
BXLT,Baxalta,26481.4,,,,,,,
BXP,Boston Properties,19587.1,19704.2,15354.9,16040.9,14751.6,12071.1,9314.7,6665
C,Citigroup Inc.,154162.7,163624.2,157853.9,119822.7,76927.2,137446,94279.6,36570
CA,"CA, Inc.",12530.5,13547.4,14912.7,9907.8,9703.9,12320,11565,9527.8
CAG,ConAgra Foods Inc.,18251.5,15452.3,14167.7,11907.6,10874.5,9833.7,10212.1,7377
CAH,Cardinal Health Inc.,29368.1,26640.9,22915.8,14042.4,14034.8,13385.5,11648.3,12395.4
CAM,Cameron Int'l Corp.,12078.5,9738.9,13181.6,13928.5,12077.7,12373.8,10226.7,4446.3
CAT,Caterpillar Inc.,39568.6,55482.5,57920.6,58698.9,58666.5,59832.2,35603,26870.2
CB,Chubb Corp.,30116.7,24049.4,23993.8,19716,18859.8,17729.4,16328.2,17965
CBE,Cooper Industries,,,,,8572.8,9567.2,7134.4,4878.7
CBG,CBRE Group,11555.5,11404.9,8729.7,6568.6,4991.7,6627.2,4366.4,1133.3
CBH,Commerce Bancorp,,,,,,,,
CBS,CBS Corp.,20440.4,28057.4,37989,23971.5,17668.1,12957.8,9480.9,5493.9
CC,Circuit City Stores Inc.,,,,,,,,
CCE,Coca-Cola Enterprises,11175.1,10579.5,11367.8,8949,7861.6,8324.1,10416.2,5868.2
CCI,Crown Castle Int'l Corp.,28854.5,26274.5,24530.8,21154.8,12743.3,12746.9,11428.2,5071.2
CCL,Carnival Corp.,32149.2,26864.8,23777.5,21859.2,19434.4,27969,19783.1,15182.8
CEG,Constellation Energy Group,,,,,8000.9,6119.5,7068.6,4996.1
CELG,Celgene Corp.,94090,89510.4,69227,32937.9,29574.5,27818.7,25573.3,25380.7
CEPH,Cephalon Inc.,,,,,,4673.6,4676.3,5295.5
CERN,Cerner,20584.5,22135.3,19161.6,13338.6,10385.9,7886.1,6741.5,3085.7
